Filename,Score,Matched Skills,Missing Skills,Approval
backend_developer.docx,76.56,experience,"docker
- problem solving, a backend developer, we, dsa",✅ Approved
frontend_developer.docx,47.17,experience,"docker
- problem solving, a backend developer, we, dsa",❌ Rejected
devops_engineer.docx,38.79,experience,"docker
- problem solving, a backend developer, we, dsa",❌ Rejected
cloud_engineer.docx,37.68,experience,"docker
- problem solving, a backend developer, we, dsa",❌ Rejected
data_analyst.docx,33.28,experience,"docker
- problem solving, a backend developer, we, dsa",❌ Rejected
android_developer.docx,32.13,experience,"docker
- problem solving, a backend developer, we, dsa",❌ Rejected
ml_engineer.docx,31.07,experience,"docker
- problem solving, a backend developer, we, dsa",❌ Rejected
cybersecurity_analyst.docx,28.2,experience,"docker
- problem solving, a backend developer, we, dsa",❌ Rejected
product_manager.docx,27.7,experience,"docker
- problem solving, a backend developer, we, dsa",❌ Rejected
uttam_resume.pdf,24.65,dsa,"docker
- problem solving, a backend developer, we, experience",❌ Rejected
business_analyst.docx,22.36,experience,"docker
- problem solving, a backend developer, we, dsa",❌ Rejected
